,audio_path,generator_type,emotion_type,time
0,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F000.wav,script,neu,3.303875
1,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F001.wav,script,neu,2.4199375
2,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F002.wav,script,xxx,3.67
3,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F003.wav,script,neu,3.1199375
4,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F004.wav,script,neu,2.5899375
5,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F005.wav,script,neu,1.61
6,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F006.wav,script,neu,3.8399375
7,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F007.wav,script,xxx,4.5899375
8,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F008.wav,script,fru,5.0399375
9,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F009.wav,script,xxx,1.67
10,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F010.wav,script,neu,3.5
11,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F011.wav,script,neu,3.4499375
12,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F012.wav,script,neu,2.3799375
13,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F013.wav,script,xxx,2.09
14,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F014.wav,script,neu,3.3
15,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F015.wav,script,xxx,4.0299375
16,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F016.wav,script,xxx,1.8199375
17,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F017.wav,script,xxx,2.15
18,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F018.wav,script,ang,3.14
19,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F019.wav,script,ang,2.1899375
20,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F020.wav,script,ang,1.2099375
21,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F021.wav,script,ang,3.9399375
22,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F022.wav,script,neu,1.8999375
23,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F023.wav,script,ang,1.4799375
24,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F024.wav,script,ang,5.2
25,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F025.wav,script,xxx,4.85
26,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F026.wav,script,fru,4.05
27,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F027.wav,script,ang,3.05
28,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F028.wav,script,fru,1.4699375
29,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F029.wav,script,ang,1.4199375
30,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F030.wav,script,ang,3.34
31,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F031.wav,script,ang,2.0599375
32,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F032.wav,script,ang,2.17
33,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F033.wav,script,ang,5.3499375
34,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F034.wav,script,ang,2.8299375
35,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F035.wav,script,ang,4.0399375
36,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F036.wav,script,ang,2.28
37,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F037.wav,script,ang,1.23
38,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F038.wav,script,ang,6.85
39,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F039.wav,script,ang,6.0599375
40,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F040.wav,script,ang,7.27
41,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_F041.wav,script,ang,3.73
42,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M000.wav,script,xxx,5.5
43,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M001.wav,script,xxx,3.4799375
44,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M002.wav,script,xxx,4.18
45,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M003.wav,script,xxx,3.68
46,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M004.wav,script,ang,3.49
47,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M005.wav,script,ang,2.91
48,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M006.wav,script,fru,1.1
49,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M007.wav,script,xxx,1.93
50,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M008.wav,script,ang,2.74
51,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M009.wav,script,neu,4.75
52,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M010.wav,script,neu,2.4699375
53,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M011.wav,script,xxx,3.68
54,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M012.wav,script,xxx,6.07
55,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M013.wav,script,ang,5.27
56,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M014.wav,script,ang,1.8399375
57,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M015.wav,script,xxx,2.49
58,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M016.wav,script,ang,2.87
59,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M017.wav,script,xxx,3.0199375
60,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M018.wav,script,fru,1.79
61,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M019.wav,script,ang,4.8399375
62,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M020.wav,script,xxx,2.4399375
63,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M021.wav,script,xxx,3.0799375
64,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M022.wav,script,ang,1.0799375
65,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M023.wav,script,fru,1.4099375
66,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M024.wav,script,ang,3.1199375
67,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M025.wav,script,ang,2.97
68,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M026.wav,script,ang,5.3
69,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M027.wav,script,xxx,2.6999375
70,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M028.wav,script,xxx,8.2399375
71,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M029.wav,script,xxx,4.46
72,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M030.wav,script,fru,5.72
73,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M031.wav,script,xxx,3.15
74,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M032.wav,script,fru,2.07
75,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M033.wav,script,xxx,2.9499375
76,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M034.wav,script,xxx,2.68
77,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M035.wav,script,xxx,3.0399375
78,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M036.wav,script,xxx,1.81
79,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M037.wav,script,ang,3.0799375
80,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M038.wav,script,ang,1.62
81,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M039.wav,script,ang,1.68
82,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M040.wav,script,ang,2.73
83,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M041.wav,script,ang,2.7099375
84,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M042.wav,script,ang,4.1599375
85,./Data/IEMOCAP/Wav/Ses05F_script03_2/Ses05F_script03_2_M043.wav,script,ang,9.8799375
86,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_F000.wav,script,sad,1.1434375
87,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_F001.wav,script,neu,1.8799375
88,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_F002.wav,script,xxx,2.2099375
89,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_F003.wav,script,xxx,6.7099375
90,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_F004.wav,script,xxx,1.1
91,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_F005.wav,script,xxx,1.33
92,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_F006.wav,script,xxx,2.6899375
93,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_F007.wav,script,xxx,2.1899375
94,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_F008.wav,script,xxx,1.3
95,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_F009.wav,script,xxx,1.43
96,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_F010.wav,script,xxx,1.97
97,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_F011.wav,script,xxx,1.8799375
98,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_F012.wav,script,xxx,1.2
99,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_F013.wav,script,fru,6.6
100,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_F014.wav,script,fru,6.1599375
101,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_F015.wav,script,fru,1.6999375
102,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_F016.wav,script,sad,1.73
103,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_F017.wav,script,xxx,1.3499375
104,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_F018.wav,script,fru,9.91
105,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_F019.wav,script,fru,2.5799375
106,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_F020.wav,script,xxx,1.3499375
107,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M000.wav,script,exc,21.05
108,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M001.wav,script,exc,15.1599375
109,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M002.wav,script,exc,16.09
110,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M003.wav,script,exc,3.5699375
111,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M004.wav,script,xxx,1.07
112,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M005.wav,script,exc,7.25
113,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M006.wav,script,exc,12.5099375
114,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M007.wav,script,exc,15.1899375
115,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M008.wav,script,exc,10.5299375
116,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M009.wav,script,exc,6.8
117,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M010.wav,script,exc,1.4799375
118,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M011.wav,script,xxx,7.67
119,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M012.wav,script,xxx,1.33
120,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M013.wav,script,xxx,1.3899375
121,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M014.wav,script,xxx,5.68
122,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M015.wav,script,xxx,1.8299375
123,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M016.wav,script,fru,1.55
124,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M017.wav,script,exc,9.447875
125,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M018.wav,script,exc,9.2820625
126,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M019.wav,script,exc,6.3899375
127,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M020.wav,script,exc,9.094875
128,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M021.wav,script,exc,6.9650625
129,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M022.wav,script,fru,1.7099375
130,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M023.wav,script,exc,18.15
131,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M024.wav,script,fru,1.6299375
132,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M025.wav,script,fru,14.46
133,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M026.wav,script,xxx,1.92
134,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M027.wav,script,xxx,6.87
135,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M028.wav,script,exc,6.1299375
136,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M029.wav,script,exc,8.25
137,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M030.wav,script,exc,34.13875
138,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M031.wav,script,exc,11.6399375
139,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M032.wav,script,exc,15.05
140,./Data/IEMOCAP/Wav/Ses05M_script02_1/Ses05M_script02_1_M033.wav,script,exc,4.8799375
141,./Data/IEMOCAP/Wav/Ses03M_script01_2/Ses03M_script01_2_F000.wav,script,ang,2.4843125
142,./Data/IEMOCAP/Wav/Ses03M_script01_2/Ses03M_script01_2_F001.wav,script,ang,5.407125
143,./Data/IEMOCAP/Wav/Ses03M_script01_2/Ses03M_script01_2_F002.wav,script,xxx,3.1906875
144,./Data/IEMOCAP/Wav/Ses03M_script01_2/Ses03M_script01_2_F003.wav,script,xxx,2.4445
145,./Data/IEMOCAP/Wav/Ses03M_script01_2/Ses03M_script01_2_F004.wav,script,xxx,3.7241875
